Player,num_years,batsman_points,batsman_points_per_year,SR,Ave,Runs,country
V Kohli,3,1160,386.6666666666667,133.04,86.33,777,India
DPMD Jayawardene,5,1544,308.8,134.74,39.07,1016,SriLanka
KP Pietersen,3,887,295.6666666666667,148.33,44.61,580,England
CH Gayle,6,1565,260.8333333333333,146.73,40.00,920,WestIndies
SJ Myburgh,2,486,243.0,145.83,31.11,280,Netherlands
TM Dilshan,6,1355,225.83333333333334,124.06,30.93,897,SriLanka
JH Kallis,3,639,213.0,117.66,36.08,433,SouthAfrica
Younis Khan,2,425,212.5,124.06,29.90,299,Pakistan
C Kieswetter,2,421,210.5,110.12,23.72,261,England
BB McCullum,5,977,195.4,128.42,28.95,637,NewZealand
TLW Cooper,2,388,194.0,130.85,41.00,246,Netherlands
G Gambhir,4,768,192.0,118.01,26.20,524,India
HM Amla,3,570,190.0,127.45,31.33,376,SouthAfrica
KC Sangakkara,5,941,188.2,112.22,25.42,661,SriLanka
AD Hales,3,559,186.33333333333334,134.84,27.38,356,England
ST Jayasuriya,3,558,186.0,121.40,21.62,346,SriLanka
AB de Villiers,6,1080,180.0,143.40,29.87,717,SouthAfrica
Umar Akmal,4,716,179.0,132.42,34.71,486,Pakistan
Misbah-ul-Haq,3,536,178.66666666666666,124.32,30.66,368,Pakistan
GC Smith,3,525,175.0,115.03,22.00,352,SouthAfrica
AJ Finch,2,348,174.0,126.31,36.00,216,Australia
LJ Wright,4,690,172.5,142.53,25.82,439,England
Q de Kock,2,344,172.0,126.16,24.11,217,SouthAfrica
RG Sharma,6,1029,171.5,127.22,39.58,673,India
Salman Butt,3,508,169.33333333333334,109.23,26.38,343,Pakistan
MEK Hussey,4,647,161.75,139.61,54.62,437,Australia
Kamran Akmal,5,790,158.0,115.92,20.96,524,Pakistan
OA Shah,2,310,155.0,116.75,20.90,209,England
Yuvraj Singh,6,930,155.0,128.91,23.72,593,India
JC Buttler,3,462,154.0,139.26,27.72,305,England
DA Warner,5,763,152.6,128.88,21.50,473,Australia
KS Williamson,3,450,150.0,111.31,27.72,305,NewZealand
SR Watson,6,876,146.0,140.94,28.26,537,Australia
GJ Maxwell,3,438,146.0,160.00,29.33,264,Australia
EJG Morgan,5,714,142.8,122.53,25.47,484,England
Shakib Al Hasan,6,854,142.33333333333334,128.86,28.35,567,Bangladesh
Shahid Afridi,6,839,139.83333333333334,154.23,18.82,546,Pakistan
JP Duminy,6,832,138.66666666666666,129.68,40.57,568,SouthAfrica
MN Samuels,6,828,138.0,115.72,31.17,530,WestIndies
HH Gibbs,3,412,137.33333333333334,125.59,24.09,265,SouthAfrica
SK Raina,5,686,137.2,130.17,25.16,453,India
F du Plessis,3,409,136.33333333333334,136.18,30.11,271,SouthAfrica
LRPL Taylor,6,816,136.0,127.72,28.10,562,NewZealand
CL White,3,406,135.33333333333334,136.50,36.85,258,Australia
J Charles,3,403,134.33333333333334,110.26,20.58,247,WestIndies
Mohammad Shahzad,4,530,132.5,123.75,23.07,323,Afghanistan
AD Mathews,5,660,132.0,129.66,38.25,459,SriLanka
Tamim Iqbal,6,780,130.0,113.46,24.47,514,Bangladesh
Sabbir Rahman,2,260,130.0,117.12,21.37,171,Bangladesh
DJ Bravo,6,762,127.0,129.23,24.00,504,WestIndies
Imran Nazir,4,504,126.0,150.00,25.00,300,Pakistan
MJ Guptill,5,629,125.8,111.14,22.72,409,NewZealand
J Mubarak,2,250,125.0,146.36,23.00,161,SriLanka
Shoaib Malik,6,744,124.0,116.41,32.11,546,Pakistan
W Barresi,2,246,123.0,122.13,20.00,160,Netherlands
MS Dhoni,6,738,123.0,123.88,35.26,529,India
DJ Hussey,3,366,122.0,132.20,26.00,234,Australia
SB Styris,3,340,113.33333333333333,118.87,19.41,233,NewZealand
Mohammad Hafeez,6,628,104.66666666666667,105.18,20.28,426,Pakistan
Junaid Siddique,2,209,104.5,164.47,41.66,125,Bangladesh
LPC Silva,2,206,103.0,104.54,12.54,138,SriLanka
GJ Bailey,2,204,102.0,136.78,23.80,119,Australia
MJ Lumb,3,304,101.33333333333333,131.08,17.63,194,England
LMP Simmons,5,500,100.0,131.14,29.09,320,WestIndies
AJ Redmond,2,198,99.0,162.50,29.25,117,NewZealand
JD Ryder,2,198,99.0,127.83,20.66,124,NewZealand
PD Collingwood,3,296,98.66666666666667,117.31,13.12,210,England
DA Miller,2,197,98.5,145.05,22.00,132,SouthAfrica
JJ Atkinson,2,196,98.0,101.61,21.00,126,HongKong
Shafiqullah,3,290,96.66666666666667,140.31,22.62,181,Afghanistan
JA Morkel,5,478,95.6,142.59,20.53,308,SouthAfrica
C Munro,2,190,95.0,112.61,20.83,125,NewZealand
NLTC Perera,4,366,91.5,142.33,23.20,232,SriLanka
S Chanderpaul,3,269,89.66666666666667,110.05,20.66,186,WestIndies
Asghar Afghan,4,347,86.75,99.59,22.36,246,Afghanistan
SC Williams,2,172,86.0,134.83,20.00,120,Zimbabwe
KA Pollard,3,256,85.33333333333333,124.24,11.71,164,WestIndies
Mohammad Ashraful,4,338,84.5,138.56,19.27,212,Bangladesh
EC Joyce,2,169,84.5,98.43,25.20,126,Ireland
MM Ali,2,164,82.0,119.31,17.50,105,England
RS Bopara,4,327,81.75,114.90,26.55,239,England
Aftab Ahmed,3,245,81.66666666666667,127.34,32.60,163,Bangladesh
MS Chapman,2,160,80.0,93.89,20.50,123,HongKong
CJ Anderson,2,160,80.0,106.60,18.83,113,NewZealand
AD Poynter,2,159,79.5,137.68,23.75,95,Ireland
Ahmed Shehzad,5,381,76.2,126.90,31.25,250,Pakistan
WTS Porterfield,5,363,72.6,104.97,21.08,253,Ireland
V Sehwag,4,290,72.5,129.86,23.37,187,India
BRM Taylor,5,362,72.4,127.60,40.83,245,Zimbabwe
AD Russell,3,216,72.0,138.54,19.00,133,WestIndies
JDP Oram,4,284,71.0,132.16,13.50,189,NewZealand
ADS Fletcher,5,342,68.4,114.65,27.37,219,WestIndies
DJG Sammy,5,342,68.4,164.12,17.91,215,WestIndies
RR Sarwan,3,197,65.66666666666667,98.19,20.37,163,WestIndies
JEC Franklin,3,195,65.0,117.54,26.80,134,NewZealand
Gulbadin Naib,3,194,64.66666666666667,99.21,15.87,127,Afghanistan
Nasir Hossain,3,194,64.66666666666667,111.47,22.66,136,Bangladesh
RT Ponting,2,127,63.5,106.17,17.20,86,Australia
YK Pathan,3,190,63.333333333333336,148.78,17.42,122,India
MV Boucher,3,190,63.333333333333336,93.86,17.00,153,SouthAfrica
