Player,St,Ct,num_years,batsman_points,batsman_points_per_year,SR,Ave,Runs,country
MS Dhoni,11,21,6,738,123.0,123.88,35.26,529,India
Mohammad Shahzad,5,4,4,530,132.5,123.75,23.07,323,Afghanistan
BJ Haddin,2,6,5,255,51.0,101.71,14.83,178,Australia
Mushfiqur Rahim,9,10,6,362,60.333333333333336,104.45,16.12,258,Bangladesh
JC Buttler,1,3,3,462,154.0,139.26,27.72,305,England
C Kieswetter,2,6,2,421,210.5,110.12,23.72,261,England
NJ O'Brien,4,7,5,232,46.4,107.33,20.12,161,Ireland
GC Wilson,1,4,5,175,35.0,82.14,15.33,138,Ireland
BB McCullum,1,13,5,977,195.4,128.42,28.95,637,NewZealand
L Ronchi,5,7,2,86,43.0,142.50,11.40,57,NewZealand
Kamran Akmal,18,12,5,790,158.0,115.92,20.96,524,Pakistan
MV Boucher,1,15,3,190,63.333333333333336,93.86,17.00,153,SouthAfrica
Q de Kock,4,11,2,344,172.0,126.16,24.11,217,SouthAfrica
AB de Villiers,2,30,6,1080,180.0,143.40,29.87,717,SouthAfrica
LD Chandimal,1,5,4,184,46.0,102.45,15.62,125,SriLanka
KC Sangakkara,14,12,5,941,188.2,112.22,25.42,661,SriLanka
D Ramdin,9,18,6,96,16.0,83.33,6.66,80,WestIndies
BRM Taylor,1,4,5,362,72.4,127.60,40.83,245,Zimbabwe
